"objetID,C,254","dateRefere,D","route,C,100","pr,C,10","depPr,C,10","concession,C,1","abs,N,24,15","cumul,N,24,15","x,N,24,15","y,N,24,15","z,N,24,15","cote,C,1","voie,N,10,0","accrochage,C,20","longueurd,N,10,0","longueurg,N,10,0","sectionnem,C,3","sectionn_1,C,15"
9046,02/01/2026,51N900411,3,51,N,0,501,"766879,52","6848195,14",0,D,0,ACCROCHE,275,0,51,GE DIRE
25655,02/01/2026,51N900411,4,51,N,0,776,"766607,21","6848220,84",0,D,0,ACCROCHE,350,0,51,GE DIRE
71003,02/01/2026,51N900411,5,51,N,0,1126,"766596,64","6848088,43",0,D,0,ACCROCHE,20,0,51,GE DIRE
57417,02/01/2026,51N900411,6,51,N,0,1146,"766618,28","6848122,38",0,D,0,ACCROCHE,25,0,51,GE DIRE
31663,02/01/2026,51N900411,7,51,N,0,1171,"766636,22","6848230,2",0,D,0,ACCROCHE,20,0,51,GE DIRE
22307,02/01/2026,51N900411,8,51,N,0,1191,"766607,39","6848188,4",0,D,0,ACCROCHE,31,0,51,GE DIRE
73947,02/01/2026,51N900412,1,51,N,0,0,"773221,84","6850400,45",0,D,0,ACCROCHE,436,0,51,GE DIRE
12521,02/01/2026,51N900412,2,51,N,0,436,"773646,96","6850479,45",0,D,0,ACCROCHE,285,0,51,GE DIRE
46505,02/01/2026,51N900412,3,51,N,0,721,"773822,1","6850724,14",0,D,0,ACCROCHE,242,0,51,GE DIRE
4443,02/01/2026,51N900412,4,51,N,0,963,"773558,18","6850694,53",0,D,0,ACCROCHE,205,0,51,GE DIRE
19584,02/01/2026,51N900413,1,51,N,0,0,"784983,25","6849333,19",0,D,0,ACCROCHE,195,0,51,GE DIRE
41677,02/01/2026,51N900413,2,51,N,0,195,"785177,46","6849252,26",0,D,0,ACCROCHE,230,0,51,GE DIRE
22021,02/01/2026,51N900413,3,51,N,0,425,"785421,69","6849291,3",0,D,0,ACCROCHE,195,0,51,GE DIRE
68075,02/01/2026,51N900413,4,51,N,0,620,"785229,91","6849372,58",0,D,0,ACCROCHE,215,0,51,GE DIRE
20509,02/01/2026,51N900414,1,51,N,0,0,"827892,63","6844113,8",0,D,0,ACCROCHE,275,0,51,GE DIRE
66205,02/01/2026,51N900414,2,51,N,0,275,"828126,83","6843906,25",0,D,0,ACCROCHE,237,0,51,GE DIRE
3200,02/01/2026,51N900414,3,51,N,0,512,"828371,28","6843891,16",0,D,0,ACCROCHE,284,0,51,GE DIRE
8667,02/01/2026,51N900414,4,51,N,0,796,"828130,91","6844117,33",0,D,0,ACCROCHE,208,0,51,GE DIRE
34187,02/01/2026,51N900415,1,51,N,0,0,"770796,87","6849799,4",0,D,0,ACCROCHE,341,0,51,GE DIRE
43427,02/01/2026,51N900415,2,51,N,0,341,"771155,06","6849800,95",0,D,0,ACCROCHE,256,0,51,GE DIRE
54829,02/01/2026,51N900415,3,51,N,0,597,"771411,66","6849852,33",0,D,0,ACCROCHE,273,0,51,GE DIRE
27597,02/01/2026,51N900415,4,51,N,0,870,"771126,73","6849950,1",0,D,0,ACCROCHE,250,0,51,GE DIRE
46497,02/01/2026,51N904404,2,51,N,0,0,"796425,97","6882360,48",0,D,0,ACCROCHE,265,0,51,GE DIRE
54791,02/01/2026,51N904404,3,51,N,0,265,"796547,28","6882256,23",0,D,0,ACCROCHE,255,0,51,GE DIRE
44439,02/01/2026,51N904405,1,51,N,0,0,"798925,52","6876787,28",0,D,0,ACCROCHE,410,0,51,GE DIRE
26124,02/01/2026,51N904405,2,51,N,0,410,"799136,4","6876407,65",0,D,0,ACCROCHE,522,0,51,GE DIRE
6122,02/01/2026,51N904406,1,51,N,0,0,"799158,9","6876386,27",0,D,0,ACCROCHE,265,0,51,GE DIRE
950,02/01/2026,51N904406,2,51,N,0,265,"799551,84","6876415,35",0,D,0,ACCROCHE,490,0,51,GE DIRE
17954,02/01/2026,51N904407,1,51,N,0,0,"800493,67","6876087,05",0,D,0,ACCROCHE,246,0,51,GE DIRE
40635,02/01/2026,51N904407,2,51,N,0,246,"800680,02","6875926,86",0,D,0,ACCROCHE,153,0,51,GE DIRE
26089,02/01/2026,51N904407,3,51,N,0,399,"800902,56","6875822,91",0,D,0,ACCROCHE,250,0,51,GE DIRE
17036,02/01/2026,51N904407,4,51,N,0,649,"800762,22","6876090,05",0,D,0,ACCROCHE,253,0,51,GE DIRE
2499,02/01/2026,51N904408,1,51,N,0,0,"801539,01","6874793,28",0,D,0,ACCROCHE,297,0,51,GE DIRE
62983,02/01/2026,51N904408,2,51,N,0,297,"801778,41","6874469,33",0,D,0,ACCROCHE,182,0,51,GE DIRE
8284,02/01/2026,51N904408,3,51,N,0,479,"801825,71","6874236,7",0,D,0,ACCROCHE,282,0,51,GE DIRE
20831,02/01/2026,51N904408,4,51,N,0,761,801819,"6874576,92",0,D,0,ACCROCHE,300,0,51,GE DIRE
4833,02/01/2026,51N904409,1,51,N,0,0,"801833,1","6873312,87",0,D,0,ACCROCHE,260,0,51,GE DIRE
46498,02/01/2026,51N904409,2,51,N,0,260,"801823,81","6873016,79",0,D,0,ACCROCHE,185,0,51,GE DIRE
